repo url,has_workflow_files,Num_workflow_files,num_test_workflow_files,workflow_files_for_test,has_pyproject,has_setup,has_makefile
github.com/NoviScl/GPT3-Reliability,FALSE,0,0,[],FALSE,FALSE,FALSE
github.com/ekinakyurek/deprem_openai_apis,TRUE,2,2,"['dev.yml', 'docker-image.yml']",TRUE,FALSE,TRUE
github.com/summerstay/Infinite-Adventure,FALSE,0,0,[],FALSE,FALSE,FALSE
github.com/MikeGu721/EasyLLM,FALSE,0,0,[],FALSE,FALSE,FALSE
github.com/kayoyin/interpret-lm,TRUE,1,0,[],FALSE,FALSE,FALSE
github.com/OpenLMLab/collie,TRUE,1,1,['python-publish.yml'],FALSE,TRUE,FALSE
github.com/KaiLv69/UDR,FALSE,0,0,[],FALSE,FALSE,FALSE
github.com/wyshi/lm_privacy,FALSE,0,0,[],FALSE,FALSE,FALSE
github.com/vvhg1/guided-text-generation-with-classifier-free-language-diffusion,FALSE,0,0,[],FALSE,FALSE,FALSE
github.com/agiresearch/OpenAGI,FALSE,0,0,[],FALSE,FALSE,FALSE
github.com/destwang/DCN,FALSE,0,0,[],FALSE,FALSE,FALSE
github.com/sanjayss34/codevqa,TRUE,1,0,[],TRUE,TRUE,FALSE
github.com/microsoft/LoRA,FALSE,0,0,[],FALSE,TRUE,FALSE
github.com/tommccoy1/inductive-bias-distillation,FALSE,0,0,[],FALSE,FALSE,FALSE
github.com/VegB/iNLG,FALSE,0,0,[],FALSE,FALSE,FALSE
github.com/allenai/open-instruct,FALSE,0,0,[],FALSE,FALSE,FALSE
github.com/HomebrewNLP/Olmax,FALSE,0,0,[],FALSE,FALSE,FALSE
github.com/aliciasun/natural-prompts,FALSE,0,0,[],FALSE,FALSE,FALSE
github.com/astrobleem/Simple-StableLM-Chat,TRUE,1,1,['python-package-conda.yml'],FALSE,FALSE,FALSE
github.com/kmeng01/memit,FALSE,0,0,[],FALSE,FALSE,FALSE
github.com/peterwestuw/ReflectiveDecoding,FALSE,0,0,[],FALSE,FALSE,FALSE
github.com/juncongmoo/minichatgpt,FALSE,0,0,[],FALSE,TRUE,FALSE
github.com/rizwan09/REDCODER,FALSE,0,0,[],FALSE,FALSE,FALSE
github.com/roemmele/answerquest,FALSE,0,0,[],FALSE,TRUE,FALSE
github.com/ZZR0/CodeAttack,FALSE,0,0,[],FALSE,FALSE,FALSE
github.com/sambanova/generative_data_prep,TRUE,2,2,"['release-drafter.yml', 'stale.yml']",TRUE,FALSE,FALSE
github.com/alexgaskell10/nlp_summarization,FALSE,0,0,[],FALSE,FALSE,FALSE
github.com/IBM/ecqa,FALSE,0,0,[],FALSE,FALSE,FALSE
github.com/Yaoming95/CIAT,FALSE,0,0,[],FALSE,TRUE,TRUE
github.com/takaki-otake/coling2020-modeling-event-salience,FALSE,0,0,[],FALSE,FALSE,FALSE
github.com/CuongNN218/zalo_ltr_2021,FALSE,0,0,[],FALSE,FALSE,FALSE
github.com/rungjoo/simmc2.0,FALSE,0,0,[],FALSE,FALSE,FALSE
github.com/john-hewitt/truncation-sampling,FALSE,0,0,[],FALSE,FALSE,FALSE
github.com/joestacey/NLI_with_a_human_touch,FALSE,0,0,[],FALSE,FALSE,FALSE
github.com/Weixin-Liang/ChatGPT-Detector-Bias,FALSE,0,0,[],FALSE,FALSE,FALSE
github.com/declare-lab/instruct-eval,FALSE,0,0,[],FALSE,FALSE,FALSE
github.com/cambridgeltl/mop,FALSE,0,0,[],FALSE,FALSE,FALSE
github.com/r2d4/rellm,FALSE,0,0,[],TRUE,FALSE,FALSE
github.com/albertkx/Berkeley-Crossword-Solver,FALSE,0,0,[],FALSE,FALSE,FALSE
github.com/wseagar/diffusion.gg,TRUE,1,1,['main.yaml'],FALSE,FALSE,FALSE
github.com/git-cloner/codegen,FALSE,0,0,[],FALSE,FALSE,FALSE
github.com/Glorf/recipenlg,FALSE,0,0,[],FALSE,FALSE,FALSE
github.com/ruiqi-zhong/DescribeDistributionalDifferences,FALSE,0,0,[],FALSE,FALSE,FALSE
github.com/fabiangal/space-efficient-context-encoding-acl21,FALSE,0,0,[],FALSE,FALSE,FALSE
github.com/JonasGeiping/breaching,FALSE,0,0,[],TRUE,FALSE,FALSE
github.com/krafton-ai/MPC,FALSE,0,0,[],FALSE,TRUE,FALSE
github.com/CodeGeeX/codegeex-fastertransformer,FALSE,0,0,[],FALSE,FALSE,FALSE
github.com/prof-frink-lab/slangchain,FALSE,0,0,[],FALSE,TRUE,FALSE
github.com/RuochenZhao/Verify-and-Edit,FALSE,0,0,[],FALSE,FALSE,FALSE
github.com/jiggy-ai/mass-gpt,FALSE,0,0,[],FALSE,FALSE,TRUE
github.com/facebookresearch/VLaMP,FALSE,0,0,[],TRUE,TRUE,FALSE
github.com/daniellibin/gaiic2021_track3_querySim,FALSE,0,0,[],FALSE,FALSE,FALSE
github.com/piresramon/gpt-4-enem,FALSE,0,0,[],FALSE,TRUE,FALSE
github.com/allenai/data-efficient-finetuning,FALSE,0,0,[],FALSE,FALSE,FALSE
github.com/neuralmind-ai/visconde,FALSE,0,0,[],FALSE,FALSE,FALSE
github.com/ImKeTT/adavae,FALSE,0,0,[],FALSE,FALSE,FALSE
github.com/jhcknzzm/Federated-Learning-Backdoor,FALSE,0,0,[],FALSE,FALSE,FALSE
github.com/BM-K/KoSentenceBERT-SKT,FALSE,0,0,[],FALSE,FALSE,FALSE
github.com/TingsongYu/PyTorch-Tutorial-2nd,FALSE,0,0,[],FALSE,FALSE,FALSE
github.com/itsevin/sister_bot,FALSE,0,0,[],TRUE,FALSE,FALSE
github.com/darvincy/Bert_based_book_code,FALSE,0,0,[],FALSE,FALSE,FALSE
github.com/yandex-research/swarm,FALSE,0,0,[],FALSE,FALSE,FALSE
github.com/turtlesoupy/this-word-does-not-exist,FALSE,0,0,[],FALSE,FALSE,FALSE
github.com/thejaminator/conditionme,TRUE,2,1,['dev.yml'],TRUE,FALSE,FALSE
github.com/zjr2000/GVL,FALSE,0,0,[],FALSE,FALSE,FALSE
github.com/okbuddyhololive/project-cybertard,FALSE,0,0,[],FALSE,FALSE,FALSE
github.com/lazyCodes7/RedHenLab_Multimodal_Christian_Art_Tagging,TRUE,1,1,['docker-image.yml'],FALSE,FALSE,FALSE
github.com/ZJU-OpenKS/OpenKS,FALSE,0,0,[],FALSE,FALSE,FALSE
github.com/Gideon-Stein/On-grammar-improvements-of-GPT-2-generation,FALSE,0,0,[],FALSE,FALSE,FALSE
github.com/nightingal3/Fig-QA,FALSE,0,0,[],FALSE,FALSE,FALSE
github.com/SeldonIO/jenkins-x-seldon-core-sandbox,TRUE,11,9,"['alibidetect_tests.yml', 'alibiexplainer_tests.yml', 'executor_lint.yml', 'executor_tests.yml', 'operator_lint.yml', 'operator_tests.yml', 'python_tests.yml', 'security_tests.yml', 'stalebot.yml']",FALSE,FALSE,TRUE
github.com/mosaicml/llm-foundry,TRUE,8,8,"['code-quality.yaml', 'codeql-analysis.yml', 'coverage.yaml', 'docker.yaml', 'pr-cpu.yaml', 'pr-gpu.yaml', 'release.yaml', 'smoketest.yaml']",TRUE,TRUE,TRUE
github.com/dglazkov/polymath,FALSE,0,0,[],TRUE,FALSE,FALSE
github.com/model-zoo/twitter-turing-test,FALSE,0,0,[],FALSE,FALSE,FALSE
github.com/pytorch/rl,TRUE,14,14,"['benchmarks.yml', 'benchmarks_pr.yml', 'build-wheels-m1.yml', 'docs.yml', 'lint.yml', 'nightly_build.yml', 'test-linux-examples.yml', 'test-linux-habitat.yml', 'test-linux-libs.yml', 'test-linux-rlhf.yml', 'test-linux.yml', 'test-macos-cpu.yml', 'test-windows-optdepts.yml', 'wheels.yml']",TRUE,TRUE,FALSE
github.com/MtSomeThree/constrDecoding,FALSE,0,0,[],FALSE,FALSE,FALSE
github.com/perpetio/magic_avatars,FALSE,0,0,[],FALSE,FALSE,FALSE
github.com/archiki/ReCEval,FALSE,0,0,[],FALSE,FALSE,FALSE
github.com/cognitive-engineering-lab/quizicist,TRUE,1,1,['ci.yaml'],FALSE,FALSE,FALSE
github.com/wutong8023/PLM4CL,FALSE,0,0,[],FALSE,FALSE,FALSE
github.com/stanford-oval/genie-toolkit,FALSE,0,0,[],FALSE,FALSE,TRUE
github.com/ADGEfficiency/creative-writing-with-gpt2,FALSE,0,0,[],FALSE,TRUE,TRUE
github.com/Shark-NLP/CAB,FALSE,0,0,[],FALSE,FALSE,FALSE
github.com/occia/fuzzdrivergpt,FALSE,0,0,[],FALSE,FALSE,FALSE
github.com/Heidelberg-NLP/COINS,FALSE,0,0,[],FALSE,FALSE,FALSE
github.com/mukobi/MLAB-Transformers-From-Scratch,FALSE,0,0,[],FALSE,TRUE,FALSE
github.com/Media-Bias-Group/MBIB,FALSE,0,0,[],FALSE,FALSE,FALSE
github.com/swift-fox/gpt2-chatbot-sms,FALSE,0,0,[],FALSE,FALSE,FALSE
github.com/spilioeve/eventsrealm,FALSE,0,0,[],FALSE,FALSE,FALSE
github.com/thunlp/MixADA,FALSE,0,0,[],FALSE,FALSE,FALSE
github.com/nunoplopes/torchy,FALSE,0,0,[],FALSE,TRUE,FALSE
github.com/calebrwalk5/basilisk,FALSE,0,0,[],FALSE,FALSE,FALSE
github.com/imyzx2017/mindspore_pcl,FALSE,0,0,[],FALSE,TRUE,FALSE
github.com/jpwahle/emnlp22-transforming,FALSE,0,0,[],TRUE,FALSE,FALSE
github.com/microsoft/LMOps,FALSE,0,0,[],FALSE,FALSE,FALSE
github.com/kxz18/Stylized-Story-Generation-with-Style-Guided-Planning,FALSE,0,0,[],FALSE,FALSE,FALSE
github.com/memray/OpenNMT-kpg-release,TRUE,2,2,"['push.yml', 'release.yml']",FALSE,TRUE,FALSE
github.com/Lvchangze/snn,FALSE,0,0,[],FALSE,FALSE,FALSE
github.com/facebookresearch/MetaICL,FALSE,0,0,[],FALSE,FALSE,FALSE
github.com/pqian11/fragment-completion,FALSE,0,0,[],FALSE,FALSE,FALSE
github.com/mf1024/Transformers,FALSE,0,0,[],FALSE,FALSE,FALSE
github.com/microsoft/batch-inference,TRUE,1,1,['publish_docs.yml'],TRUE,FALSE,FALSE
github.com/KastanDay/video-pretrained-transformer,FALSE,0,0,[],FALSE,FALSE,FALSE
github.com/aws-neuron/aws-neuron-reference-for-megatron-lm,FALSE,0,0,[],FALSE,FALSE,FALSE
github.com/raghavan/InstantQnA,FALSE,0,0,[],FALSE,FALSE,FALSE
github.com/tridao/zoo,FALSE,0,0,[],FALSE,FALSE,FALSE
github.com/bhoov/exbert,FALSE,0,0,[],FALSE,FALSE,TRUE
github.com/salesforce/CodeGen,FALSE,0,0,[],FALSE,FALSE,FALSE
github.com/uclasystem/bamboo,FALSE,0,0,[],FALSE,FALSE,FALSE
